MovieID,Occupation,avg(Rating)
2205,3,5.0
2810,16,5.0
3742,18,5.0
909,18,5.0
3172,0,5.0
3736,15,5.0
927,19,5.0
556,15,5.0
2731,18,5.0
1329,2,5.0
3303,2,5.0
3570,3,5.0
1582,9,5.0
3143,18,5.0
578,20,5.0
853,17,5.0
195,18,5.0
2935,11,5.0
1300,5,5.0
1420,4,5.0
1755,12,5.0
2101,6,5.0
304,3,5.0
3554,16,5.0
2931,14,5.0
3718,2,5.0
3121,2,5.0
3093,8,5.0
3853,3,5.0
1615,11,5.0
119,13,5.0
334,13,5.0
1423,13,5.0
2727,11,5.0
2585,9,5.0
1827,10,5.0
3215,20,5.0
2503,6,5.0
669,4,5.0
3318,14,5.0
206,13,5.0
3894,20,5.0
1795,12,5.0
1817,6,5.0
3307,19,5.0
1347,8,5.0
3818,17,5.0
1257,8,5.0
1212,9,5.0
3634,10,5.0
3371,6,5.0
495,19,5.0
423,8,5.0
3152,8,5.0
841,5,5.0
507,8,5.0
2942,8,5.0
3281,1,5.0
1255,14,5.0
543,8,5.0
2830,7,5.0
3523,12,5.0
3338,12,5.0
966,1,5.0
783,8,5.0
2130,9,5.0
2326,7,5.0
2210,13,5.0
3686,8,5.0
525,12,5.0
2665,11,5.0
1796,6,5.0
2885,13,5.0
3872,5,5.0
862,5,5.0
848,18,5.0
2935,15,5.0
3737,18,5.0
100,13,5.0
2936,10,5.0
728,8,5.0
1263,8,5.0
1211,8,5.0
3375,14,5.0
556,19,5.0
3089,18,5.0
2964,14,5.0
340,11,5.0
336,12,5.0
2069,8,5.0
2731,5,5.0
2305,10,5.0
2187,11,5.0
281,9,5.0
1349,14,5.0
3924,19,5.0
2211,14,5.0
3859,13,5.0
3498,10,5.0
3300,9,5.0
425,19,5.0
960,11,5.0
949,9,5.0
3140,0,5.0
1946,5,5.0
1814,12,5.0
1361,18,5.0
131,16,5.0
2678,5,5.0
2063,10,5.0
808,13,5.0
3896,19,5.0
2899,15,5.0
1349,16,5.0
1117,15,5.0
1305,13,5.0
2757,15,5.0
490,13,5.0
3284,3,5.0
3637,4,5.0
3851,12,5.0
649,6,5.0
2056,0,5.0
670,14,5.0
2998,17,5.0
3470,9,5.0
1420,14,5.0
483,13,5.0
2325,11,5.0
2847,5,5.0
1643,5,5.0
3943,11,5.0
1604,16,5.0
805,9,5.0
257,11,5.0
2068,8,5.0
961,11,5.0
3951,17,5.0
771,15,5.0
2848,5,5.0
2905,3,5.0
3030,18,5.0
1123,11,5.0
2969,15,5.0
3236,2,5.0
3410,13,5.0
3182,10,5.0
1566,8,5.0
2931,16,5.0
1743,5,5.0
1509,1,5.0
670,16,5.0
886,6,5.0
1286,10,5.0
2192,1,5.0
3022,19,5.0
1934,19,5.0
1241,18,5.0
2626,13,5.0
2426,11,5.0
1063,9,5.0
1464,11,5.0
3038,19,5.0
1283,9,5.0
410,8,5.0
1413,13,5.0
1539,20,5.0
3081,8,5.0
361,18,5.0
1743,17,5.0
1008,8,5.0
1337,16,5.0
2068,14,5.0
3021,19,5.0
443,13,5.0
1260,10,5.0
2356,6,5.0
959,18,5.0
1684,16,5.0
1839,9,5.0
2156,1,5.0
301,17,5.0
1669,9,5.0
3168,8,5.0
1450,16,5.0
1534,6,5.0
2905,17,5.0
1421,17,5.0
2928,5,5.0
3117,8,5.0
97,5,5.0
2776,0,5.0
3161,13,5.0
1810,10,5.0
659,14,5.0
567,14,5.0
959,11,5.0
2924,15,5.0
3281,11,5.0
1575,15,5.0
3922,19,5.0
2289,8,5.0
42,10,5.0
3905,20,5.0
3008,5,5.0
2932,15,5.0
3030,19,5.0
1003,13,5.0
1002,3,5.0
1138,2,5.0
3928,9,5.0
3717,8,5.0
1901,16,5.0
2166,10,5.0
3419,17,5.0
3019,8,5.0
3757,20,5.0
645,7,5.0
1419,9,5.0
321,19,5.0
551,8,5.0
2461,10,5.0
324,18,5.0
1529,6,5.0
2774,10,5.0
1596,2,5.0
1188,8,5.0
718,16,5.0
702,11,5.0
3012,20,5.0
1925,12,5.0
1944,19,5.0
3105,10,5.0
669,16,5.0
203,18,5.0
40,6,5.0
621,4,5.0
3715,10,5.0
1827,5,5.0
1899,6,5.0
2512,1,5.0
2239,15,5.0
85,5,5.0
811,12,5.0
2342,4,5.0
3121,9,5.0
2073,19,5.0
136,19,5.0
1900,5,5.0
106,3,5.0
2962,0,5.0
1860,12,5.0
2711,15,5.0
3659,16,5.0
2905,5,5.0
571,7,5.0
2839,10,5.0
3517,0,5.0
3309,17,5.0
1111,7,5.0
2101,1,5.0
1192,19,5.0
681,16,5.0
1725,13,5.0
3625,12,5.0
2511,13,5.0
1450,3,5.0
1906,10,5.0
3349,10,5.0
1099,13,5.0
152,19,5.0
1900,14,5.0
2582,19,5.0
214,12,5.0
3781,10,5.0
2654,14,5.0
1797,9,5.0
1164,11,5.0
947,19,5.0
2764,19,5.0
3792,19,5.0
546,8,5.0
2237,16,5.0
2983,19,5.0
958,16,5.0
1960,18,5.0
3888,1,5.0
1241,15,5.0
3015,18,5.0
3446,13,5.0
2596,11,5.0
308,9,5.0
80,14,5.0
3725,15,5.0
929,9,5.0
2443,15,5.0
378,15,5.0
1529,2,5.0
111,8,5.0
327,8,5.0
649,0,5.0
2833,6,5.0
2920,13,5.0
3480,9,5.0
3800,0,5.0
1871,0,5.0
1180,9,5.0
3788,8,5.0
1289,19,5.0
811,15,5.0
3925,6,5.0
1138,20,5.0
2583,11,5.0
1260,8,5.0
326,19,5.0
941,5,5.0
1398,3,5.0
2843,7,5.0
2305,3,5.0
137,17,5.0
2849,15,5.0
2197,13,5.0
3078,5,5.0
3778,17,5.0
408,12,5.0
487,9,5.0
2323,11,5.0
49,14,5.0
759,9,5.0
3640,11,5.0
1172,8,5.0
567,1,5.0
101,9,5.0
718,2,5.0
326,17,5.0
433,9,5.0
199,9,5.0
666,0,5.0
3382,13,5.0
281,18,5.0
3333,13,5.0
3470,18,5.0
2512,6,5.0
3612,17,5.0
3326,9,5.0
3562,12,5.0
3365,8,5.0
3205,19,5.0
3849,7,5.0
2937,10,5.0
1099,10,5.0
3680,5,5.0
2156,2,5.0
2691,19,5.0
583,4,5.0
2700,8,5.0
956,9,5.0
2560,9,5.0
2950,10,5.0
1419,3,5.0
49,19,5.0
394,14,5.0
3867,12,5.0
801,1,5.0
1117,4,5.0
3817,14,5.0
37,7,5.0
1925,5,5.0
2304,1,5.0
124,17,5.0
3892,19,5.0
1112,1,5.0
3000,8,5.0
1085,5,5.0
2173,11,5.0
2725,10,5.0
1755,3,5.0
2101,10,5.0
2998,9,5.0
3866,13,5.0
2800,8,5.0
1787,17,5.0
2988,15,5.0
3746,12,5.0
3808,19,5.0
3338,14,5.0
1026,16,5.0
3851,10,5.0
57,10,5.0
2577,6,5.0
458,19,5.0
2360,5,5.0
2466,11,5.0
1411,8,5.0
1603,8,5.0
2973,8,5.0
3083,10,5.0
3245,12,5.0
1684,14,5.0
581,10,5.0
3495,0,5.0
682,2,5.0
1926,3,5.0
1067,1,5.0
2920,16,5.0
2853,5,5.0
3230,13,5.0
1360,13,5.0
3637,12,5.0
1154,12,5.0
1564,16,5.0
1913,10,5.0
2221,13,5.0
2630,10,5.0
1163,3,5.0
3496,3,5.0
1348,10,5.0
751,13,5.0
1152,12,5.0
2072,8,5.0
3429,13,5.0
176,10,5.0
3644,3,5.0
1002,1,5.0
1886,0,5.0
2131,3,5.0
2253,8,5.0
1594,10,5.0
1131,10,5.0
2342,10,5.0
2930,3,5.0
1000,17,5.0
1190,13,5.0
1000,11,5.0
3429,8,5.0
2124,8,5.0
1015,18,5.0
1180,6,5.0
3216,0,5.0
2760,1,5.0
3611,16,5.0
1850,14,5.0
2357,10,5.0
1585,6,5.0
3343,19,5.0
113,13,5.0
568,19,5.0
1176,18,5.0
670,15,5.0
1365,7,5.0
602,4,5.0
2437,9,5.0
2238,9,5.0
1292,19,5.0
1071,14,5.0
2705,20,5.0
518,10,5.0
2227,12,5.0
2417,3,5.0
464,10,5.0
746,14,5.0
2671,8,5.0
488,12,5.0
2041,10,5.0
3715,9,5.0
3092,6,5.0
1214,8,5.0
2019,8,5.0
3832,16,5.0
3787,19,5.0
3714,9,5.0
1897,13,5.0
1696,15,5.0
3121,11,5.0
2154,9,5.0
823,0,5.0
176,13,5.0
3178,8,5.0
948,5,5.0
451,11,5.0
3456,10,5.0
2293,2,5.0
1997,8,5.0
156,17,5.0
1609,14,5.0
557,2,5.0
334,18,5.0
892,8,5.0
1056,13,5.0
2776,3,5.0
3293,7,5.0
53,4,5.0
3224,17,5.0
2131,12,5.0
2066,16,5.0
3306,18,5.0
3520,9,5.0
659,12,5.0
2609,9,5.0
77,5,5.0
3571,3,5.0
3913,1,5.0
1153,3,5.0
3817,1,5.0
3559,12,5.0
2314,13,5.0
3451,15,5.0
3416,11,5.0
3903,16,5.0
1149,20,5.0
1114,13,5.0
1425,8,5.0
964,6,5.0
2211,13,5.0
3199,17,5.0
340,12,5.0
2345,6,5.0
665,3,5.0
1354,10,5.0
3096,18,5.0
2330,11,5.0
801,11,5.0
3845,18,5.0
1427,5,5.0
149,19,5.0
1965,10,5.0
2819,9,5.0
3106,12,5.0
3221,11,5.0
1686,13,5.0
2024,5,5.0
3681,9,5.0
3117,11,5.0
116,13,5.0
1936,10,5.0
1940,10,5.0
2326,3,5.0
3944,0,5.0
2219,13,5.0
3713,15,5.0
3659,3,5.0
3700,18,5.0
341,3,5.0
714,10,5.0
1744,10,5.0
1382,10,5.0
2198,17,5.0
3711,4,5.0
2442,5,5.0
2110,10,5.0
1161,8,5.0
2929,10,5.0
937,19,5.0
2493,11,5.0
2166,19,5.0
2626,14,5.0
627,11,5.0
1057,8,5.0
341,13,5.0
1241,12,5.0
299,10,5.0
3314,15,5.0
559,12,5.0
665,15,5.0
3598,13,5.0
1994,8,5.0
2227,13,5.0
3645,3,5.0
981,0,5.0
2196,10,5.0
1297,10,5.0
570,0,5.0
3143,15,5.0
1897,19,5.0
3218,19,5.0
1421,5,5.0
835,10,5.0
787,20,5.0
1925,13,5.0
668,5,5.0
2180,15,5.0
3746,7,5.0
1631,3,5.0
2876,9,5.0
350,8,5.0
3415,5,5.0
1511,12,5.0
668,14,5.0
1534,16,5.0
2210,19,5.0
3309,14,5.0
2175,2,5.0
1273,10,5.0
2940,15,5.0
3486,2,5.0
3736,11,5.0
741,8,5.0
2356,19,5.0
3245,4,5.0
79,10,5.0
939,9,5.0
3925,19,5.0
3492,16,5.0
1866,11,5.0
1446,19,5.0
973,17,5.0
1202,5,5.0
3069,17,5.0
2185,12,5.0
1423,2,5.0
2345,8,5.0
3656,0,5.0
3425,13,5.0
1567,0,5.0
2188,9,5.0
483,11,5.0
1572,14,5.0
2904,1,5.0
1177,5,5.0
2275,15,5.0
359,19,5.0
1725,17,5.0
1922,15,5.0
1879,20,5.0
2981,4,5.0
3280,19,5.0
901,10,5.0
3947,14,5.0
3233,6,5.0
1171,8,5.0
3091,11,5.0
1076,12,5.0
2760,2,5.0
1545,17,5.0
501,14,5.0
2482,15,5.0
1860,16,5.0
1563,2,5.0
1812,12,5.0
1132,10,5.0
973,19,5.0
3302,11,5.0
729,20,5.0
1215,8,5.0
3241,19,5.0
1999,10,5.0
566,10,5.0
581,12,5.0
2206,19,5.0
3865,19,5.0
309,6,5.0
1148,9,5.0
309,14,5.0
439,4,5.0
1362,10,5.0
3224,12,5.0
2303,18,5.0
1966,10,5.0
1218,18,5.0
1670,15,5.0
615,9,5.0
1306,9,5.0
2905,13,5.0
2019,10,5.0
632,1,5.0
946,18,5.0
1184,19,5.0
1535,10,5.0
3453,12,5.0
960,7,5.0
2131,2,5.0
1284,10,5.0
3109,10,5.0
851,11,5.0
3385,9,5.0
3739,11,5.0
2708,14,5.0
3132,15,5.0
2727,7,5.0
242,5,5.0
3152,18,5.0
3161,2,5.0
668,12,5.0
2621,14,5.0
3679,15,5.0
2823,4,5.0
2922,8,5.0
3849,14,5.0
3318,18,5.0
3319,10,5.0
3951,2,5.0
1942,15,5.0
3284,11,5.0
2086,1,5.0
691,18,5.0
973,18,5.0
874,16,5.0
2715,9,5.0
3640,15,5.0
720,8,5.0
2249,10,5.0
249,10,5.0
2569,18,5.0
3110,14,5.0
2696,15,5.0
3746,11,5.0
3309,18,5.0
3012,3,5.0
1464,18,5.0
3289,15,5.0
128,16,5.0
3676,10,5.0
3161,6,5.0
989,13,5.0
1023,18,5.0
394,3,5.0
2169,9,5.0
3922,9,5.0
3428,2,5.0
3444,9,5.0
2351,15,5.0
287,1,5.0
307,18,5.0
2773,20,5.0
1807,20,5.0
1295,8,5.0
956,6,5.0
2972,2,5.0
1281,18,5.0
3845,19,5.0
2681,10,5.0
2774,19,5.0
2019,18,5.0
3838,10,5.0
1111,13,5.0
2654,10,5.0
2940,19,5.0
2972,11,5.0
1361,10,5.0
1192,11,5.0
3679,5,5.0
1497,9,5.0
324,6,5.0
2897,15,5.0
1703,2,5.0
3103,13,5.0
2618,9,5.0
61,18,5.0
3679,17,5.0
1650,9,5.0
