['S11', 1]
['S149', 0.14845529673917252]
['S189', 0.11714620313859617]
['S166', 0.10934785057423574]
['S172', 0.10474027186566695]
['S147', 0.07132893368483142]
['S198', 0.06980575139332343]
['S19', 0.061905426112117315]
['S188', 0.061658785768762915]
['S148', 0.05925085622263813]
['S180', 0.05736000909252137]
['S182', 0.05264268414182213]
['S130', 0.05082777797470022]
['S16', 0.04522949933559403]
['S115', 0.044961543315298]
['S116', 0.04475332399680685]
['S124', 0.044109428665523025]
['S154', 0.04222536599153871]
['S113', 0.04110474126229271]
['S195', 0.03884049991180093]
['S138', 0.037601982212386156]
['S167', 0.03724796721130348]
['S165', 0.03670826048550126]
['S112', 0.033984913035283275]
['S156', 0.03373889477685374]
['S12', 0.032664554716714554]
['S160', 0.032090793325231175]
['S152', 0.031888711892104876]
['S136', 0.029881589454895607]
['S118', 0.02931902241988795]
['S139', 0.028753933284519723]
['S164', 0.024518330144386275]
['S151', 0.022165000527192943]
['S155', 0.021325361397795544]
['S192', 0.02102532764088001]
['S134', 0.018784339379613147]
['S1100', 0.018587710852918403]
['S129', 0.018579934420497678]
['S162', 0.01686313923308787]
['S14', 0.016358909509472698]
['S119', 0.01570698053761608]
['S181', 0.015294441227236388]
['S121', 0.014908380273592628]
['S17', 0.014314469591105524]
['S18', 0.013465290720493996]
['S176', 0.009277810952598655]
['S117', 0.0062046541635121565]
['S194', 0.00618323835111137]
['S144', 0.005804158914157898]
['S140', 0.00572422239745247]
['S187', 0.004718152572960392]
['S170', 0.004699538371516277]
['S157', 0.003440600133996251]
['S133', 0.0033769164210486185]
['S122', 0.003224975362286874]
['S142', 0.001764675911824152]
['S173', 0.0010946794264446512]
['S125', 0.0008714892236880191]
['S123', 0.00019288308501983517]
['S146', 0.0]
['S183', -6.00561324256374e-05]
['S114', -0.0002231435250453008]
['S177', -0.000527103717657768]
['S145', -0.0024739159224339627]
['S120', -0.0034601718638073192]
['S110', -0.004469326692774186]
['S150', -0.0062418430685040735]
['S161', -0.007596068062173313]
['S163', -0.008459221663364946]
['S131', -0.009167747823177788]
['S127', -0.009750828607882225]
['S178', -0.013946621797328102]
['S171', -0.01456044371471009]
['S15', -0.01677388420263911]
['S179', -0.01704758767577393]
['S197', -0.018136063612663362]
['S190', -0.019013968713480135]
['S153', -0.021244046040324382]
['S158', -0.021763902064592527]
['S169', -0.022006817537165418]
['S159', -0.022105757159541328]
['S111', -0.023683864180019117]
['S141', -0.025148834853399936]
['S191', -0.025974814987605684]
['S13', -0.032267473046532893]
['S185', -0.03250198486058069]
['S184', -0.03400297696573929]
['S196', -0.036093607394380216]
['S199', -0.03662538408573523]
['S132', -0.03801059295843605]
['S137', -0.03902053326363185]
['S135', -0.04130848659689663]
['S126', -0.04290170333596918]
['S128', -0.05000784054656484]
['S193', -0.050654634881927466]
['S186', -0.05352104610651078]
['S174', -0.07049147446031825]
['S168', -0.08080050690052318]
['S143', -0.10237290563884027]
['S175', -0.12469305164382703]
