['S11', 1]
['S11366', 0.476255277235369]
['S11113', 0.46029854866608305]
['S11438', 0.38084886610104296]
['S11219', 0.36890575145519605]
['S11371', 0.35912115270261297]
['S1944', 0.35741364128701625]
['S11215', 0.35741364128701625]
['S11072', 0.3409066644636886]
['S12129', 0.3377241464383902]
['S11466', 0.33323795752822216]
['S1338', 0.32514194771431604]
['S12128', 0.321479915097563]
['S11878', 0.3194411007786513]
['S11472', 0.3192846002397163]
['S11682', 0.3159342235857562]
['S1776', 0.3156925552865358]
['S11408', 0.3137694826031485]
['S11287', 0.31300624470379124]
['S1665', 0.3112802446382887]
['S19', 0.30952929301365467]
['S1374', 0.30952929301365467]
['S1415', 0.30952929301365467]
['S1445', 0.30952929301365467]
['S11024', 0.30952929301365467]
['S11347', 0.30952929301365467]
['S11684', 0.30952929301365467]
['S11689', 0.30952929301365467]
['S18', 0.3039517317945511]
['S1869', 0.3028216852437952]
['S12111', 0.29738612543322224]
['S12073', 0.2965662893474383]
['S1292', 0.29502010740363965]
['S12020', 0.2924638031638137]
['S1619', 0.2916953225482676]
['S1707', 0.2909312617560286]
['S1227', 0.2849873203982202]
['S1408', 0.284813995400591]
['S1604', 0.284813995400591]
['S11460', 0.284813995400591]
['S1607', 0.28037354630334443]
['S1659', 0.2798806484829017]
['S1594', 0.2784118826705367]
['S1397', 0.2782121747039678]
['S1941', 0.27656746085698863]
['S11259', 0.2763409430773942]
['S1899', 0.27631499889474]
['S1494', 0.2747323338543892]
['S11897', 0.2731045987783787]
['S129', 0.27175257159881294]
['S12126', 0.2710836782473432]
['S193', 0.26937586274941777]
['S12045', 0.26871387795123797]
['S1613', 0.26806023096526216]
['S11392', 0.26806023096526216]
['S11422', 0.26732249893071]
['S1368', 0.26476859484977844]
['S1169', 0.26473539683865727]
['S11912', 0.26473539683865727]
['S11969', 0.26358353858194034]
['S11341', 0.26218833476636255]
['S1493', 0.26164984176608497]
['S11170', 0.26004304470592937]
['S11445', 0.25990843620317683]
['S1471', 0.2595699601792065]
['S11625', 0.2585414474781833]
['S11498', 0.2569469367467681]
['S1432', 0.2564168449307633]
['S1482', 0.25540388574403255]
['S1667', 0.25505999897976]
['S1806', 0.25373247374933827]
['S11708', 0.25178999899283994]
['S1166', 0.25130646652993327]
['S1261', 0.25130646652993327]
['S1932', 0.24736325013085322]
['S12093', 0.24725287063233087]
['S11690', 0.24568684299152033]
['S11183', 0.24547115664501576]
['S11662', 0.24427388605969497]
['S1371', 0.24088290900000228]
['S1422', 0.24088290900000228]
['S1403', 0.240365607398704]
['S11913', 0.2401161847640195]
['S11980', 0.23938934913450496]
['S11465', 0.23752724657241206]
['S11999', 0.23664957592554872]
['S11539', 0.23398215222964938]
['S1605', 0.233216308778494]
['S11944', 0.23312024056628144]
['S11065', 0.23226784816976537]
['S1466', 0.2309715345124489]
['S11436', 0.22635156270748336]
['S11961', 0.22635156270748333]
['S1223', 0.22602408881036304]
['S11943', 0.22602408881036304]
['S12265', 0.22524505518608837]
['S1226', 0.22422080833756317]
['S1985', 0.22408994223004913]
['S11247', 0.22366194995763675]
['S1795', 0.22314104270881377]
['S11734', 0.22160614034165602]
['S11817', 0.22144533194680133]
['S11685', 0.22091031288621624]
['S1802', 0.22061597219065698]
