MovieID,Age,avg(Rating)
3245,45,5.0
613,1,5.0
2756,56,5.0
2905,56,5.0
3792,1,5.0
1553,25,5.0
666,50,5.0
1743,18,5.0
1899,56,5.0
3161,45,5.0
90,45,5.0
1348,56,5.0
1286,1,5.0
937,1,5.0
2480,50,5.0
668,1,5.0
3634,1,5.0
2215,18,5.0
1493,50,5.0
3881,18,5.0
1652,35,5.0
1354,1,5.0
787,25,5.0
2166,1,5.0
3232,25,5.0
696,25,5.0
2813,1,5.0
1486,35,5.0
864,1,5.0
117,1,5.0
3338,45,5.0
38,50,5.0
2911,35,5.0
1421,45,5.0
2624,1,5.0
2309,25,5.0
659,18,5.0
3446,1,5.0
1780,25,5.0
823,25,5.0
1471,56,5.0
2512,50,5.0
2864,1,5.0
1585,50,5.0
687,50,5.0
992,50,5.0
3011,1,5.0
2937,1,5.0
1163,45,5.0
2675,18,5.0
3216,35,5.0
3531,56,5.0
358,50,5.0
299,1,5.0
1859,45,5.0
219,1,5.0
495,56,5.0
1420,25,5.0
3306,50,5.0
746,35,5.0
3139,45,5.0
3905,18,5.0
617,35,5.0
669,1,5.0
3789,1,5.0
2913,50,5.0
128,45,5.0
2708,1,5.0
1966,1,5.0
467,56,5.0
3659,56,5.0
3637,18,5.0
3838,1,5.0
128,35,5.0
2677,1,5.0
1836,1,5.0
506,1,5.0
2928,1,5.0
854,50,5.0
1809,1,5.0
3233,50,5.0
1570,56,5.0
2198,18,5.0
2518,1,5.0
1361,56,5.0
3781,1,5.0
79,1,5.0
2187,56,5.0
2357,1,5.0
583,1,5.0
3652,35,5.0
1184,56,5.0
2238,18,5.0
1067,1,5.0
84,45,5.0
2984,35,5.0
1940,1,5.0
214,56,5.0
1871,56,5.0
3679,56,5.0
3464,50,5.0
598,35,5.0
3240,1,5.0
1111,50,5.0
2930,56,5.0
3837,1,5.0
3410,56,5.0
84,1,5.0
3724,1,5.0
2358,25,5.0
2041,1,5.0
518,1,5.0
2197,35,5.0
559,50,5.0
199,1,5.0
1657,18,5.0
2776,45,5.0
3192,50,5.0
751,56,5.0
1787,50,5.0
1549,50,5.0
1153,56,5.0
2360,1,5.0
1898,56,5.0
670,1,5.0
1113,1,5.0
2632,18,5.0
1002,50,5.0
906,1,5.0
702,56,5.0
897,1,5.0
270,56,5.0
2569,50,5.0
49,1,5.0
2562,1,5.0
3236,50,5.0
1056,56,5.0
57,1,5.0
2462,1,5.0
618,35,5.0
3517,50,5.0
2994,18,5.0
3205,18,5.0
443,56,5.0
3645,50,5.0
1053,50,5.0
3888,35,5.0
771,50,5.0
2460,1,5.0
3790,50,5.0
2342,45,5.0
2068,1,5.0
3010,1,5.0
3625,50,5.0
2538,35,5.0
3137,56,5.0
2969,1,5.0
1830,50,5.0
2156,56,5.0
3233,45,5.0
3014,50,5.0
985,56,5.0
841,45,5.0
549,1,5.0
2931,35,5.0
3224,1,5.0
2493,50,5.0
2691,1,5.0
559,56,5.0
3011,18,5.0
53,35,5.0
2332,35,5.0
3429,56,5.0
534,1,5.0
1209,1,5.0
1087,1,5.0
3284,18,5.0
2823,25,5.0
3782,1,5.0
3092,50,5.0
3823,56,5.0
2503,50,5.0
1046,56,5.0
2056,1,5.0
1900,1,5.0
3906,56,5.0
2933,50,5.0
