Topic,Total_Title_cate,count
economy,economy,24685
economy,us,2773
economy,economic,2623
economy,global,1864
economy,growth,1747
economy,says,1626
economy,china,1204
economy,2016,1112
economy,chinas,1074
economy,new,999
economy,brexit,965
economy,uk,852
economy,could,772
economy,boost,767
economy,world,723
economy,quarter,697
economy,oil,689
economy,bank,616
economy,jobs,606
economy,minister,600
economy,rate,587
economy,year,553
economy,grow,533
economy,may,531
economy,2015,528
economy,market,516
economy,report,491
economy,fed,487
economy,chinese,465
economy,growing,439
economy,business,435
economy,india,426
economy,sharing,425
economy,eu,425
economy,grows,404
economy,gdp,401
economy,percent,394
economy,,390
economy,recession,382
economy,would,380
economy,state,377
economy,still,377
economy,data,372
economy,despite,370
economy,good,361
economy,first,353
economy,help,353
economy,russian,342
economy,japan,341
economy,weak,341
economy,stocks,335
economy,german,330
economy,imf,327
economy,grew,326
economy,warns,322
economy,expected,319
economy,shows,315
economy,prices,313
economy,strong,309
economy,outlook,309
economy,indian,309
economy,fuel,308
economy,impact,304
economy,crisis,299
economy,years,297
economy,risks,295
economy,trump,293
economy,amid,291
economy,slows,289
economy,hit,288
economy,low,287
economy,south,286
economy,rates,283
economy,sees,283
economy,pct,277
economy,government,275
economy,obama,270
economy,big,270
economy,japans,268
economy,top,267
economy,plan,266
economy,markets,264
economy,tax,262
economy,gig,258
economy,central,255
economy,bad,254
economy,back,253
economy,saudi,253
economy,president,252
economy,digital,248
economy,focus,246
economy,policy,246
economy,trade,245
economy,better,244
economy,economys,244
economy,slowing,244
economy,ahead,243
economy,signs,241
economy,local,237
economy,spending,237
economy,budget,235
economy,rise,230
economy,seen,228
economy,key,228
economy,russia,225
economy,fears,223
economy,pm,223
economy,feds,220
economy,slowdown,218
economy,needs,217
economy,slow,212
economy,set,212
economy,survey,210
economy,recovery,209
economy,forecast,208
economy,next,207
economy,election,204
economy,5,204
economy,canadas,204
economy,likely,203
economy,hike,202
economy,confidence,201
economy,eurozone,201
economy,risk,201
economy,sales,201
economy,third,200
economy,time,197
economy,brazils,196
economy,finance,196
economy,leaders,193
economy,say,190
economy,one,190
economy,political,189
economy,faces,189
economy,indias,189
economy,show,189
economy,job,187
economy,future,186
economy,study,182
economy,news,181
economy,chief,181
economy,vote,180
economy,real,179
economy,week,179
economy,canadian,178
economy,investment,177
economy,billion,177
economy,canada,176
economy,yellen,175
economy,clinton,175
economy,circular,175
economy,nigeria,174
economy,worlds,174
economy,last,174
economy,must,171
economy,hurt,170
economy,sector,169
economy,interest,169
economy,french,167
economy,since,167
economy,shrinks,167
economy,consumer,167
economy,cuts,167
economy,financial,166
economy,workers,165
economy,pace,164
economy,adds,163
economy,q1,161
economy,high,160
economy,wont,160
economy,poll,160
economy,govt,160
economy,americans,158
economy,support,158
economy,need,157
economy,price,155
economy,reforms,155
economy,inflation,153
economy,take,153
economy,russias,151
economy,worries,147
economy,industry,147
economy,get,147
economy,3,147
economy,investors,145
economy,fall,145
economy,heres,145
economy,biggest,145
economy,energy,144
economy,debate,143
economy,fastest,141
economy,keep,139
economy,2,138
economy,improving,137
economy,plans,137
economy,start,137
economy,sluggish,135
economy,banks,135
economy,exports,135
economy,make,134
economy,hits,134
economy,change,133
economy,brazil,133
economy,cut,133
economy,economies,132
economy,debt,132
economy,optimistic,132
economy,economists,131
economy,negative,131
economy,best,131
economy,british,130
economy,view,130
economy,fix,130
economy,q4,130
economy,update,129
economy,hard,129
economy,expands,129
economy,concerns,129
economy,faster,127
economy,per,127
economy,climate,127
economy,states,127
economy,dont,127
economy,diversify,127
economy,deal,126
economy,money,126
economy,tourism,125
economy,uncertainty,125
economy,looks,125
economy,class,123
economy,challenges,123
economy,dollar,123
economy,falls,123
economy,bill,122
economy,africas,122
economy,fourth,122
economy,urges,121
economy,health,121
economy,way,121
economy,european,120
economy,less,120
economy,like,119
economy,cost,119
economy,pressure,119
economy,australian,119
economy,wall,119
economy,look,118
economy,major,118
economy,turkish,118
economy,slump,118
economy,green,118
economy,g20,118
economy,greek,117
economy,work,117
economy,ministry,116
economy,revive,115
economy,g7,115
economy,another,115
economy,ceo,114
economy,sa,114
economy,consumers,114
economy,attacks,113
economy,q3,113
economy,talks,113
economy,national,113
economy,stronger,112
economy,remains,112
economy,continues,112
economy,alberta,112
economy,donald,112
economy,singapore,112
economy,calls,111
economy,iran,111
economy,federal,110
economy,services,110
economy,gets,110
economy,drive,110
economy,stock,110
economy,australias,110
economy,cent,109
economy,steady,109
economy,solid,109
economy,lower,109
economy,million,109
economy,remain,108
economy,sanders,108
economy,osborne,108
economy,latest,108
economy,10,108
economy,4,107
economy,think,107
economy,positive,107
economy,australia,107
economy,means,106
economy,save,106
economy,businesses,106
economy,takes,106
economy,stimulus,106
economy,modi,106
economy,second,106
economy,higher,106
economy,concern,106
economy,fiscal,105
economy,nigerias,105
economy,two,105
economy,voters,104
economy,arabia,104
economy,power,104
economy,right,104
economy,see,104
economy,security,103
economy,africa,103
economy,things,103
economy,manufacturing,103
economy,american,102
economy,americas,102
economy,sanctions,102
economy,people,101
economy,threat,101
economy,asia,101
economy,gains,100
economy,gas,100
economy,official,100
economy,irish,100
economy,buhari,100
economy,momentum,100
economy,premier,99
economy,revised,99
economy,6,99
economy,lead,98
economy,experts,98
economy,tech,98
economy,rises,98
economy,april,97
economy,companies,97
economy,uber,97
economy,worst,97
economy,record,97
economy,rural,97
economy,rising,97
economy,street,96
economy,economist,96
economy,small,96
economy,isnt,96
economy,opinion,96
economy,end,95
economy,become,95
economy,foreign,95
economy,slower,95
economy,well,94
economy,much,94
economy,whats,94
economy,robust,94
economy,finds,93
economy,woes,93
economy,paris,93
economy,hurting,93
economy,great,93
economy,france,93
economy,reform,92
economy,housing,92
economy,trumps,91
economy,abe,91
economy,innovation,91
economy,november,91
economy,decline,91
economy,retail,91
economy,role,91
economy,worse,90
economy,three,90
economy,exit,90
economy,hong,90
economy,status,90
economy,wants,89
economy,improve,89
economy,euro,89
economy,even,89
economy,zone,89
economy,jaitley,89
economy,january,89
economy,cant,89
economy,face,89
economy,house,88
economy,expectations,88
economy,demand,87
economy,unemployment,87
economy,give,87
economy,shares,87
economy,due,87
economy,forecasts,86
economy,george,86
economy,keeps,86
economy,watch,86
economy,politics,86
economy,boom,85
economy,venezuela,85
economy,slowest,85
economy,europe,85
economy,mean,85
economy,facing,84
economy,optimism,84
economy,contracts,84
economy,north,84
economy,track,84
economy,premium,83
economy,struggling,83
economy,trillion,83
economy,domestic,83
economy,hillary,83
economy,trudeau,83
economy,referendum,82
economy,private,82
economy,five,82
economy,upbeat,82
economy,boosts,81
economy,ondemand,81
economy,putin,81
economy,doesnt,81
economy,talk,81
economy,currency,81
economy,know,81
economy,ready,81
economy,problem,81
economy,credit,80
economy,weaker,80
economy,britains,80
economy,behind,80
economy,1,80
economy,pay,79
economy,policies,79
economy,factory,79
economy,drop,79
economy,irans,79
economy,day,78
economy,going,78
economy,slowed,78
economy,seeks,78
economy,collapse,77
economy,march,77
economy,warning,77
economy,falling,77
economy,firms,77
economy,scottish,77
economy,uae,77
economy,05,77
