ID,average
ID1,2.0
ID2,0.0
ID3,0.0
ID4,10.0
ID5,0.0
ID6,99.5
ID7,0.0
ID8,0.0
ID9,11.0
ID10,27.5
ID11,9.0
ID12,25.0
ID13,9.5
ID14,0.0
ID15,27.0
ID16,2.5
ID17,0.0
ID18,4.0
ID19,5.0
ID20,37.0
ID21,0.0
ID22,0.0
ID24,49.0
ID25,1.0
ID26,2.0
ID27,0.0
ID28,1.0
ID29,0.0
ID30,1.0
ID31,-1.0
ID32,0.0
ID33,1.5
ID34,1.0
ID35,50.5
ID36,9.0
ID37,0.0
ID38,36.5
ID39,1.5
ID40,12.5
ID41,0.0
ID42,28.5
ID43,0.0
ID44,0.0
ID45,0.0
ID46,1.0
ID47,0.0
ID48,42.5
ID49,46.0
ID50,-1.0
ID51,-1.0
ID52,0.0
ID53,0.0
ID55,0.0
ID56,0.0
ID57,-1.0
ID58,0.5
ID59,-1.0
ID60,0.0
ID61,-1.0
ID62,0.0
ID63,0.0
ID64,52.0
ID65,0.0
ID66,0.0
ID67,0.0
ID68,25.5
ID71,0.0
ID73,0.0
ID74,15.0
ID75,-0.5
ID76,-1.0
ID77,34.0
ID79,1.0
ID81,-0.5
ID82,0.0
ID83,0.0
ID84,29.5
ID85,8.0
ID87,0.0
ID88,15.0
ID89,2.0
ID90,20.0
ID91,1.5
ID92,85.5
ID98,3.0
ID99,-1.0
ID100,0.0
ID101,19.5
ID102,8.0
ID103,9.5
ID104,0.0
ID105,180.5
ID106,0.0
ID107,5.0
ID108,43.5
ID109,93.0
ID110,0.0
ID111,4.0
ID112,426.0
ID113,12.0
ID114,8.5
ID115,3.0
ID116,28.0
ID117,16.0
ID118,14.0
ID119,3.5
ID120,0.0
ID121,-1.0
ID122,1.0
ID123,5.5
ID124,2.0
ID125,184.5
ID126,0.0
ID127,-0.5
ID128,0.0
ID129,0.0
ID130,5.5
ID131,-1.0
ID132,0.0
ID133,7.0
ID135,0.0
ID138,0.0
ID139,0.0
ID140,-1.0
ID142,0.0
ID144,0.0
ID147,1.0
ID148,7.0
ID149,-0.5
ID151,0.0
ID153,0.0
ID165,2.0
ID171,-1.0
ID172,-1.0
ID201,15.5
ID202,0.0
ID203,-0.5
ID204,0.0
ID207,-0.5
ID208,0.0
ID209,-0.5
ID214,51.5
ID225,0.0
ID227,-0.5
ID232,-0.5
ID236,0.0
ID240,-0.5
ID241,-0.5
ID243,0.0
ID252,-0.5
ID272,-0.5
ID280,0.0
ID292,10.5
ID294,1.0
ID299,0.0
ID300,7.5
ID301,0.0
ID302,0.0
ID306,310.0
ID307,-0.5
